Comunidad;Prob ningun apellido en comun;Prob un apellido en comun;Prob dos apellidos en comun sin orden;Prob dos apellidos en comun mismo orden
Agua fria alta;0.84587526;0.15412475;0.012474849;0.012474849
Agua fria baja;0.80613214;0.19386783;0.01929791;0.017330032
Atelcura;0.88902694;0.11097308;0.012008281;0.012008281
Yerba loca;0.9164983;0.08350168;0.005387205;0.005387205
Cabra corral;0.83076924;0.16923077;0.041758243;0.041025642
Las barrancas;0.77179486;0.22820513;0.024358975;0.023076924
Lo muñoz;0.45562544;0.5443746;0.106219426;0.0810622
Los cerrillos;0.53846157;0.46153846;0.06267806;0.048433047
Los tomes;0.748538;0.25146198;0.01754386;0.01754386
El potrero;0.8917379;0.10826211;0.025641026;0.025641026
Tunga sur;0.9392731;0.060726862;0.008371537;0.0073084845
Alhuemillas las palmas;0.6292929;0.37070706;0.02929293;0.022222223
Canelilla canela;0.87530863;0.12469136;0.0095679015;0.0074074073
Quitallaco;0.9;0.1;0.01;0.01
La herradura;0.9002764;0.09972361;0.01768933;0.017468214
Huentelauquen;0.91947013;0.08052987;0.0068070036;0.0064659975
Majada blanca;0.884058;0.11594203;0.028985508;0.028985508
Canela baja;0.89701015;0.10298986;0.0039262665;0.0032082773
Oruro;0.83255816;0.16744186;0.033378933;0.033378933
Varillar;0.8952381;0.104761906;0.00952381;0.00952381
Las rojas de cutun;0.85714287;0.14285715;0.023255814;0.023255814
Las trancas de puclaro;0.7908497;0.20915033;0.05882353;0.05882353
Cuarto cajon;0.7965368;0.2034632;0.034632035;0.034632035
La plata;0.7032258;0.29677418;0.047311828;0.032258064
Gualliguaica;0.9131147;0.08688524;0.035519127;0.03497268
La polvada;0.74413645;0.25586355;0.052182697;0.049489394
El olivo;0.9191176;0.080882356;0.022058824;0.022058824
Cerro blanco;0.5759563;0.42404372;0.04918033;0.033879783
El chacay;0.68344986;0.3165501;0.11655012;0.1058275
El potrero;0.38562092;0.6143791;0.44444445;0.44444445
Uchumi - diaguita;0.9260504;0.07394958;0.020168068;0.018487396
Peña blanca;0.7726926;0.2273074;0.030358505;0.026849734
Elqui;1.0;0.0;0.0;0.0
Cuesta el manzano;0.87698257;0.12301746;0.006530721;0.006530721
Olla de caldera;0.9355168;0.06448322;0.006802027;0.006495936
Los choros;0.96236116;0.037638832;0.010695187;0.009502263
Caldera y damas;0.9263305;0.07366947;0.005322129;0.004761905
Canela alta;0.8619438;0.1380562;0.0069968444;0.005853569
El pangue;0.81;0.19;0.086666666;0.08
El almendro;0.64444447;0.35555556;0.022222223;0.022222223
Tunga norte;0.94101316;0.058986817;0.0058986815;0.005204719
Carquindaño;0.7804878;0.2195122;0.029268293;0.029268293
El chiñe;0.71370965;0.28629032;0.058467742;0.058467742
Cuz cuz;0.95567566;0.044324324;0.0061261263;0.0054054055
Angostura de galvez;0.8438438;0.15615615;0.043543544;0.04054054
La leona;0.77056277;0.22943723;0.10822511;0.10822511
La capilla;0.8548387;0.14516129;0.012096774;0.012096774
Mincha sur;0.7877907;0.2122093;0.018410852;0.013444767
Huinchiguallego;0.5750751;0.4249249;0.036036037;0.036036037
Alcones;0.81248957;0.1875104;0.0128446985;0.010403373
Estero derecho;0.92434996;0.07565002;0.0053987163;0.004555592
Chanchoqui;0.53333336;0.46666667;0.46666667;0.46666667
Quebrada los loros;0.8051948;0.19480519;0.15151516;0.15151516
Los algodones;0.6256158;0.37438422;0.05172414;0.05172414
Algarrobal y despensa;0.7912088;0.20879121;0.010989011;0.010989011
Vallecito y rio seco;0.74358976;0.25641027;0.012820513;0.012820513
San isidro;0.93073595;0.06926407;0.0;0.0
Quebrada honda;0.8451301;0.15486993;0.016333938;0.016333938
El espino;0.11728395;0.88271606;0.88271606;0.88271606
Vivanco;0.9221835;0.077816494;0.010452962;0.010452962
La colorada de aguilera y sarmiento;0.73657477;0.26342526;0.060232222;0.034107402
Fernandez y veliz;0.9277292;0.072270796;0.0050266036;0.0041710115
Fernandez angel y otros;0.8857143;0.114285715;0.01904762;0.01904762
De orrego;0.3;0.7;0.17142858;0.17142858
Movilo;0.845977;0.15402299;0.016091954;0.016091954
Flores y saavedra;0.8937729;0.10622711;0.03040293;0.03040293
Castillo mal paso y otros;0.40128705;0.5987129;0.59312034;0.59312034
Diaz ocaranza;0.22195122;0.77804875;0.7695122;0.7695122
La saucera;0.4223485;0.5776515;0.09659091;0.09469697
San lorenzo;0.8451436;0.15485635;0.020519836;0.016142271
Alvarez de valle hermoso;0.5309172;0.46908277;0.44903803;0.44903803
Los mozos;0.8088235;0.19117647;0.036764707;0.036764707
Manquehua;0.9016444;0.098355606;0.0053364863;0.0045922017
Jimenez y tapia;0.92121273;0.07878728;0.0023678194;0.002018648
Litipampa;0.7300945;0.26990554;0.018893387;0.018893387
Chape y chacay;0.7643785;0.23562153;0.03751804;0.03751804
El atajo;0.7121212;0.28787878;0.09090909;0.09090909
Carrizal y laguna de seron;0.7033333;0.29666665;0.02;0.016666668
Fundina norte;0.28;0.72;0.7137255;0.7137255
Inga pichasca;0.77324975;0.22675025;0.033176593;0.03187043
Huampulla;0.8119658;0.18803419;0.06267806;0.06267806
Las minillas;0.7802419;0.21975806;0.016129032;0.016129032
Dain y cortaderilla;0.91803277;0.08196721;0.009063042;0.008663202
El espinal de san pedro;0.8831093;0.116890706;0.011104617;0.011104617
Carrizo mendoza y romero;0.85638297;0.14361702;0.017730497;0.013297873
Los lavaderos;0.53801167;0.4619883;0.16374269;0.16374269
Cerro blanco y gigante;0.0;1.0;1.0;1.0
Cerro gigante;0.6813187;0.31868133;0.010989011;0.010989011
Huapi las mollaquitas;0.84761906;0.15238096;0.00952381;0.00952381
Piedras blancas;0.84444445;0.15555556;0.022222223;0.022222223
Los maitenes;0.83599293;0.1640071;0.10638298;0.10638298
Los maitenes de seron;0.60336137;0.39663866;0.090756305;0.090756305
La hoyada;0.3857143;0.6142857;0.2793651;0.2793651
Fundina sur;0.0;1.0;1.0;1.0
El romeral;0.23135135;0.7686486;0.13009009;0.13009009
Blas y bulrreme;0.92162555;0.07837445;0.03773585;0.03773585
Chalinga;0.9579654;0.04203464;0.0020127336;0.0018621209
Mincha norte;0.9307664;0.06923362;0.0025916328;0.0025916328
Las paredes;0.8888889;0.11111111;0.026143791;0.026143791
Huascoaltinos;0.9106578;0.08934217;0.0026446984;0.0024015077
Totoral;0.7163399;0.28366014;0.04738562;0.043899782
Valdivia de punilla;0.8894231;0.11057692;0.06298077;0.06298077
Algarrobo de hornillos;0.8320513;0.16794872;0.0076923077;0.0064102565
Socos;0.6111111;0.3888889;0.05026455;0.05026455
Los trigos;0.6666667;0.33333334;0.055525605;0.04761905
La calera;0.9056681;0.09433191;0.0123489695;0.012224591
Fernando alvarez;0.74612796;0.25387207;0.028282829;0.027609428
Salala;0.7991916;0.20080839;0.016425868;0.014877881
El durazno;0.8236025;0.17639752;0.018219462;0.018219462
El espinal;0.8411215;0.1588785;0.113187954;0.113187954
Lorenzo araya;0.0;1.0;1.0;1.0
Barraza;0.851009;0.14899099;0.016852727;0.016638042
Los pozos;0.8043478;0.19565217;0.032608695;0.032608695
Romeralcillo;0.87514126;0.12485876;0.04576271;0.04463277
La verdiona;0.8023986;0.19760138;0.06415382;0.06244051
Canelilla;0.7582431;0.24175689;0.20017225;0.20017225
Lorenzo peralta de punilla;0.85714287;0.14285715;0.0043290043;0.0043290043
El olivo;0.9191176;0.080882356;0.022058824;0.022058824
Higueritas unidas;0.94657373;0.053426247;0.0046457606;0.0046457606
Lagunillas galleguillos del valle;0.9108734;0.08912656;0.040998217;0.040998217
Potrerillo alto;0.8150449;0.18495513;0.009431792;0.009431792
Buenos aires de punilla;0.80203515;0.19796485;0.071230344;0.071230344
La coipa;0.8615523;0.1384477;0.023074618;0.023074618
Punitaqui;0.9250473;0.07495275;0.0029938102;0.0025526003
El divisadero;0.8185965;0.1814035;0.01859649;0.016140351
Rinconada de punitaqui;0.88162273;0.11837728;0.0103349965;0.009444049
El altar;0.8248358;0.17516422;0.009696591;0.008966739
Las damas;0.76666665;0.23333333;0.023809524;0.023809524
Jara o laja;0.8867305;0.11326949;0.015595076;0.01504788
Laguna verde;0.8666667;0.13333334;0.0;0.0
Chelles;0.048433047;0.95156693;0.4017094;0.4017094
Carcamo;0.7862319;0.21376811;0.057971016;0.057971016
Coipo o coyuncavi;0.7251462;0.2748538;0.023391813;0.0116959065
Los tapias;0.84537816;0.15462185;0.07058824;0.07058824
Las bateas;0.61538464;0.3846154;0.012820513;0.0
Huana;0.8966305;0.103369504;0.016561965;0.016371597
Quebrada de colliguaycito;0.93939394;0.060606062;0.0;0.0
Atunhuaico;0.6906907;0.3093093;0.23573573;0.23573573
Pulpica bajo;0.85;0.15;0.025;0.016666668
El tome;0.85336137;0.14663866;0.023809524;0.022408964
El cuyano;0.85714287;0.14285715;0.023809524;0.014285714
Los angeles;0.8730769;0.12692308;0.028205128;0.025641026
Rapelcillo;0.8961039;0.103896104;0.030303031;0.030303031
Piedra lisa;0.93048126;0.069518715;0.024955437;0.024955437
La chacarilla;0.9462044;0.053795576;0.015400303;0.015259661
Cordillera de carrizal;0.7380952;0.26190478;0.028571429;0.028571429
Maqui los palquis;0.74634147;0.25365853;0.045121953;0.042682927
Rio colorado;0.8463902;0.15360983;0.035330262;0.029185869
Chilecito y chuapa;0.2;0.8;0.79761904;0.79761904
Dos rios;0.95320195;0.046798028;0.0024630541;0.0024630541
Pejerreyes;0.65238094;0.34761906;0.07619048;0.057142857
Piedra lisa;0.93048126;0.069518715;0.024955437;0.024955437
Quebrada de tulahuen;0.7394958;0.26050422;0.020168068;0.020168068
La cisterna;0.91468257;0.08531746;0.024801588;0.020833334
Quebrada las minillas;0.5591133;0.4408867;0.073891625;0.071428575
Quebrada las mollacas;0.96;0.04;0.003076923;0.003076923
Macano;0.8282913;0.17170869;0.025490196;0.025490196
De araya;0.96363634;0.036363635;0.0;0.0
Quebrada la arena;0.8;0.2;0.06666667;0.06666667
Las cardas;0.80494505;0.19505495;0.027472528;0.024542125
El potrero de huatulame;0.87540984;0.124590166;0.045901638;0.04480874
Mialqui;0.9311424;0.06885759;0.012519562;0.012519562
El peñon;0.7381916;0.26180837;0.11605938;0.11066127
Pulpica alto;0.82678425;0.17321572;0.015771184;0.0149692595
Ramadilla;0.7207977;0.27920228;0.094017096;0.088319086
Los hoyos y el empedrado;0.8103448;0.18965517;0.032019705;0.032019705
Monte patria;0.9038386;0.096161395;0.0042166486;0.0035405308
La tranquita;0.55411255;0.44588745;0.116883114;0.10822511
Rapel;0.8882433;0.11175667;0.031784005;0.030758714
La ortiga;0.0;1.0;1.0;1.0
Colliguay;0.9;0.1;0.015300547;0.012568306
