wrong,right
huinchiguallego,huichiguallego
la_barrancas,las_barrancas
tuinga_sur,tunga_sur
algarobla_y_despensa,algarrobal_y_despensa
estero_de_derecho,estero_derecho
guilliguaica,gualliguaica
la_rojas_de_cutun,las_rojas_de_cutun
majada_blanca1,majada_blanca
quebrada_de_los_loros,quebrada_los_loros
uchumi_diaguitas,uchumi_diaguita
vallecito_y_rio_seco,vallecito_rio_seco
algarrobos_de_hornillos,algarrobo_de_hornillos
coipo_o_coyuncavi,coipo_y_coyuncavi
diaz_ocaranza,diaz_y_ocaranza
el_peral_ojo_del_agua,el_peral_ojo_de_agua
el_protero_de_huatulame,el_potrero_de_huatulame
fundita_norte,fundina_norte
huampilla,huampulla
huanpulla,huampulla
huapi_y_mollaquitas,huapi_las_mollaquitas
huapila_mollaquitas,huapi_las_mollaquitas
lagunillas_galleguillos__del_valle,lagunillas_galleguillos_del_valle
los_hoyos_y_el_empredado,los_hoyos_y_el_empedrado
mialqui_los_palquis,maqui_los_palquis
montepatria,monte_patria
quebrada_de_colliguaycito,quebrada_colliguaycito
quebrada_de_colliguaycillo,quebrada_colliguaycito
fernandez_alvarez,fernando_alvarez
qiebrada_arena,quebrada_la_arena
qiebrada_de_tulahuen,quebrada_de_tulahuen
quebrada_de_paihuano_y_san_andres,quebrada_de_paihuano
el_potrero,el_potrero_alto
peral_ojo_de_agua,el_peral_ojo_de_agua
